company_id,title,symbol,instId,code,sectorPe,shareCount,estimatedEps,baseVol,group_id_id
56,تكادو (وكادو) - بازار پايه زرد فرابورسقانون احکام دائمی برنامه های توسعه کشور,وكادو,IRO7TKDP0001,56717416662584054,,797280000,2301,735836,56
57,سرمايه گذاري تامين اجتماعي (شستا) - -,شستا,IRO1TAMN0001,2400322364771558,7.59,142000000000,1895,9900990,39
54,سرمايه‌ گذاري‌ شاهد (ثشاهد) - بازار اول (تابلوي اصلي) بورس,ثشاهد,IRO1SAHD0001,63481599728522324,9.81,4006632000,1048,2106742,70
59,صنايع‌ آذرآب‌ (فاذر) - بازار دوم بورس,فاذر,IRO1AZAB0001,38547060135156069,19.34,18126475000,2,12406948,28
47,ح . سرمايه گذاري‌البرز(هلدينگ‌ (والبرح) - بازار اول (تابلوي اصلي) بورس,والبرح,IRR1ALBZ0101,38188825207508209,13.71,1100000000,,1,43
50,ح. داروسازي توليد دارو (دتوليدح) - بازار اول فرابورس,دتوليدح,IRR3DTDZ0101,9925324137489171,16.47,250000000,,1,43
48,صندوق س.سهام فراز داريك-س (فراز) - بازار ابزارهاي نوين مالي فرابورس,فراز,IRT3FDKF0001,13666407494621646,758.09,100000000,,1,68
55,اعتباري ملل (وملل) - بازار دوم فرابورس,وملل,IRO3ASKZ0001,24644999329120295,,10000000000,,4000000,57
45,بيمه  ما (ما) - بازار دوم بورس,ما,IRO1BVMA0001,29860265627578401,6.58,4000000000,1428,2423263,66
43,سامان‌ گستراصفهان‌ (ثامان) - بازار دوم بورس,ثامان,IRO1SGOS0001,66456062140680461,17.97,221941160,,1467710,70
53,توليد خاك نسوزاستقلال آباده (كباده) - بازار پايه زرد فرابورسقانون احکام دائمی برنامه های توسعه کشور,كباده,IRO7KBDP0001,55979741213594029,,219194700,1787,447448,54
41,سرمايه‌گذاري‌صندوق‌بازنشستگي‌ (وصندوق) - بازار اول (تابلوي اصلي) بورس,وصندوق,IRO1SAND0001,37204371816016200,7.59,27000000000,3159,6224066,39
61,سپنتا (فپنتا) - بازار دوم بورس,فپنتا,IRO1SPTA0001,68488673556087148,7.62,54172800,66790,29388,27
49,سيمان‌ شرق‌ (سشرق) - بازار اول (تابلوي اصلي) بورس,سشرق,IRO1SSHR0001,26997316501080743,7.44,2653560000,939,2046385,53
42,پتروشيمي پرديس (شپديس) - بازار اول (تابلوي فرعي) بورس,شپديس,IRO1PRDZ0001,20562694899904339,6.71,6000000000,25934,771664,44
40,صنايع پتروشيمي تخت جمشيد (شجم) - بازار پايه زرد فرابورسقانون احکام دائمی برنامه های توسعه کشور,شجم,IRO7TJMP0001,49244604018250364,7.65,6500000000,1371,2600000,44
58,دامداري تليسه نمونه (تليسه) - بازار دوم فرابورس,تليسه,IRO3TLIZ0001,41781090739318251,10,4993940000,150,7727976,1
