name,group_id
زراعت و خدمات وابسته,1
جنگلداري و ماهيگيري,2
استخراج زغال سنگ,10
استخراج نفت گاز و خدمات جنبي جز اکتشاف,11
استخراج کانه هاي فلزي,13
استخراج ساير معادن,14
حذف شده- فرآورده‌هاي غذايي و آشاميدني,15
منسوجات,17
دباغي، پرداخت چرم و ساخت انواع پاپوش,19
محصولات چوبي,20
محصولات كاغذي,21
انتشار، چاپ و تکثير,22
فراورده هاي نفتي، كك و سوخت هسته اي,23
حذف شده-مواد و محصولات شيميايي,24
لاستيك و پلاستيك,25
توليد محصولات كامپيوتري الكترونيكي ونوري,26
فلزات اساسي,27
ساخت محصولات فلزي,28
ماشين آلات و تجهيزات,29
ماشين آلات و دستگاه‌هاي برقي,31
ساخت دستگاه‌ها و وسايل ارتباطي,32
ابزارپزشکي، اپتيکي و اندازه‌گيري,33
خودرو و ساخت قطعات,34
ساير تجهيزات حمل و نقل,35
مبلمان و مصنوعات ديگر,36
قند و شكر,38
شرکتهاي چند رشته اي صنعتي,39
عرضه برق، گاز، بخاروآب گرم,40
جمع آوري، تصفيه و توزيع آب,41
محصولات غذايي و آشاميدني به جز قند و شكر,42
مواد و محصولات دارويي,43
محصولات شيميايي,44
پيمانكاري صنعتي,45
تجارت عمده فروشي به جز وسايل نقليه موتور,46
خرده فروشي،باستثناي وسايل نقليه موتوري,47
كاشي و سراميك,49
تجارت عمده وخرده فروشي وسائط نقليه موتور,50
حمل و نقل هوايي,51
انبارداري و حمايت از فعاليتهاي حمل و نقل,52
سيمان، آهك و گچ,53
ساير محصولات كاني غيرفلزي,54
هتل و رستوران,55
سرمايه گذاريها,56
بانكها و موسسات اعتباري,57
ساير واسطه گريهاي مالي,58
اوراق حق تقدم استفاده از تسهيلات مسكن,59
حمل ونقل، انبارداري و ارتباطات,60
حمل و نقل آبي,61
فعاليت هاي پشتيباني و كمكي حمل و نقل,63
مخابرات,64
واسطه‌گري‌هاي مالي و پولي,65
بيمه وصندوق بازنشستگي به جزتامين اجتماعي,66
فعاليتهاي كمكي به نهادهاي مالي واسط,67
صندوق سرمايه گذاري قابل معامله,68
اوراق تامين مالي,69
انبوه سازي، املاك و مستغلات,70
فعاليت مهندسي، تجزيه، تحليل و آزمايش فني,71
رايانه و فعاليت‌هاي وابسته به آن,72
اطلاعات و ارتباطات,73
خدمات فني و مهندسي,74
اوراق بهادار مبتني بر دارايي فكري,76
فعالبت هاي اجاره و ليزينگ,77
فعاليت پشتيباني اجرائي اداري وحمايت كسب,82
فعاليت هاي هنري، سرگرمي و خلاقانه,90
فعاليتهاي فرهنگي و ورزشي,93
گروه اوراق غيرفعال,98
